userAddress,poolAddress,tokenAddress,blockNumber,balance,timestamp
0x03707609abc5d0c9ffcd26ba6dbe083a3a833857,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,404602575842028316,1713146329
0x03894d4ac41dd6c4c2f524ed4417c90fa46972c6,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,591065818093174467,1713146329
0x038b8d09d9fb4101e882d2617a870d21de713db3,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,1812317058930885198,1713146329
0x03a227f52aa82745c866ed4de4e89accd7485446,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,65518693186917577,1713146329
0x03aa1bdd7480ca12a8b5f72267309d59642a028b,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,173394984443388536,1713146329
0x03b57fbc3bda760db9eb17a690faba2a1c431c8c,0x9f4baa696954ea954090231a582d535854b1b40e,0xf5d3953a33f78e0412a8988fd77b4920aa968b0b,600000,129232704481253494569,1713146329
0x03cd6f4129fb2504fd653731b38a528f2215bee1,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,163994012516710683,1713146329
0x03e7ab483ea1d177e4be2472bf16ca17b8cf280d,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,145092912239889684,1713146329
0x0417a86339f2e6d7eb48fc69df99461bee20cfc3,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,131037345498250219,1713146329
0x0419395ef65947b74ad9ccd1a9753251e72e411b,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,119386296211803006,1713146329
0x042a3f89877de8a761dbaa7846166d8aba2b4212,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,65524610615290,1713146329
0x043ac44f8cec7e359a31415f1e54459a8c2599a0,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,373466227617104216,1713146329
0x0446eae379669c97efc140ee72655311dad5791b,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,1179430453041043213,1713146329
